Municipality,Year, Total_Personal_Vehicles,#_of_EVs
Little Ferry borough,2020,"6,873",21
Bedminster township,2020,"6,866",65
Bedminster township,2015,"6,854",7
Brigantine city,2015,"6,844",4
West Caldwell township,2015,"6,833",5
Fairview borough,2015,"6,832",2
Ridgefield Park village,2015,"6,817",8
Manville borough,2020,"6,812",18
East Greenwich township,2015,"6,788",3
Glen Rock borough,2020,"6,767",98
Pittsgrove township,2020,"6,765",18
Hillsdale borough,2015,"6,741",2
Chatham township,2020,"6,737",104
Asbury Park city,2015,"6,681",8
Washington township,2020,"6,674",59
Ridgefield borough,2020,"6,673",26
Waldwick borough,2015,"6,660",4
Somers Point city,2020,"6,648",14
River Vale township,2015,"6,607",7
Mansfield township,2020,"6,595",58
Brigantine city,2020,"6,590",34
Somers Point city,2015,"6,577",1
Pittsgrove township,2015,"6,576",2
Fairview borough,2020,"6,520",19
Washington township,2015,"6,483",6
Red Bank borough,2015,"6,466",9
Ridgefield borough,2015,"6,463",5
Waldwick borough,2020,"6,463",28
Mansfield township,2015,"6,424",8
Westampton township,2020,"6,395",22
Totowa borough,2015,"6,392",1
Park Ridge borough,2020,"6,357",48
Byram township,2020,"6,326",26
Gloucester City city,2020,"6,325",13
East Rutherford borough,2020,"6,252",29
Little Ferry borough,2015,"6,242",4
Maywood borough,2020,"6,228",28
Long Hill township,2020,"6,223",77
Manville borough,2015,"6,219",3
Long Hill township,2015,"6,215",8
Audubon borough,2015,"6,212",1
South Amboy city,2015,"6,190",2
Tabernacle township,2020,"6,157",23
Pitman borough,2015,"6,148",2
Burlington city,2015,"6,132",6
Burlington city,2020,"6,107",35
Hardyston township,2020,"6,098",22
Lopatcong township,2020,"6,098",16
Westampton township,2015,"6,096",5
Ventnor City city,2020,"6,068",31
Hardyston township,2015,"6,054",4
Byram township,2015,"6,017",4
Wood-Ridge borough,2020,"6,009",71
North Haledon borough,2015,"5,998",3
Woodbury city,2020,"5,994",24
Chester township,2020,"5,986",62
Weehawken township,2015,"5,957",7
Pitman borough,2020,"5,955",29
Pine Hill borough,2015,"5,938",3
Matawan borough,2015,"5,886",4
Audubon borough,2020,"5,875",21
Gloucester City city,2015,"5,867",3
Keansburg borough,2020,"5,860",10
Clayton borough,2020,"5,853",18
Plumsted township,2015,"5,847",2
Upper Saddle River borough,2020,"5,797",123
Edgewater Park township,2015,"5,794",3
Ventnor City city,2015,"5,786",5
Keansburg borough,2015,"5,778",0
Mansfield township,2015,"5,771",4
Park Ridge borough,2015,"5,742",4
Matawan borough,2020,"5,732",46
Butler borough,2020,"5,730",48
Hackettstown town,2020,"5,730",33
Harrison town,2015,"5,730",4
Woodbury city,2015,"5,726",5
Hackettstown town,2015,"5,707",3
Bound Brook borough,2015,"5,681",0
Absecon city,2015,"5,679",2
Chester township,2015,"5,657",8
Oradell borough,2020,"5,657",51
Bound Brook borough,2020,"5,656",24
Spotswood borough,2020,"5,654",25
Montvale borough,2020,"5,634",54
Maywood borough,2015,"5,616",4
Boonton town,2020,"5,615",52
South Amboy city,2020,"5,605",23
Cresskill borough,2015,"5,602",6
Northfield city,2020,"5,601",19
North Haledon borough,2020,"5,594",19
Mount Holly township,2020,"5,580",28
Upper Deerfield township,2015,"5,580",2
Edgewater Park township,2020,"5,568",10
Freehold borough,2020,"5,562",38
Leonia borough,2020,"5,551",54
Boonton town,2015,"5,544",4
Upper Saddle River borough,2015,"5,537",12
Cresskill borough,2020,"5,531",95
Northfield city,2015,"5,516",3
Fairfield township,2020,"5,511",46
Haddon Heights borough,2020,"5,504",28
Buena Vista township,2020,"5,471",19
Spotswood borough,2015,"5,461",2
Lopatcong township,2015,"5,458",2
Chatham borough,2015,"5,456",8
