Municipality,Year,Res_Electricity_EE,Total_Electricity,Res_Natural_Gas_EE,Total_Natural_Gas
Maple Shade township,2020,"59,626,616","121,313,432","3,601,299","3,601,299"
Maplewood township,2015,"68,415,956","121,698,476","9,316,223","9,316,223"
Maplewood township,2020,"70,481,261","117,498,803","8,487,769","8,487,769"
Margate City city,2015,"48,512,417","48,512,417","4,852,556","4,852,556"
Margate City city,2020,"48,433,501","48,433,501","3,787,134","3,787,134"
Marlboro township,2015,"179,284,256","269,599,067","16,518,750","16,518,750"
Marlboro township,2020,"169,580,107","247,169,171","16,422,738","16,422,738"
Matawan borough,2015,"37,264,269","65,429,629","3,363,549","3,363,549"
Matawan borough,2020,"36,350,135","60,340,813","2,252,700","2,252,700"
Maurice River township,2015,"10,662,020","10,662,020","360,393","360,393"
Maurice River township,2020,"9,114,905","9,114,905","300,028","300,028"
Maywood borough,2015,"27,942,064","62,836,406","3,045,244","3,045,244"
Maywood borough,2020,"26,874,402","53,027,075","2,692,407","2,692,407"
Medford Lakes borough,2015,"17,250,813","20,216,664","6,639,223","6,639,223"
Medford Lakes borough,2020,"17,111,039","19,891,359","6,061,350","6,061,350"
Medford township,2015,"109,992,617","178,026,593","2,789,557","2,789,557"
Medford township,2020,"104,804,688","104,804,688","2,667,551","2,667,551"
Mendham borough,2015,"25,687,597","40,547,276","2,896,178","2,896,178"
Mendham borough,2020,"24,784,543","38,621,829","2,708,345","2,708,345"
Mendham township,2015,"39,933,987","45,632,873","3,927,573","3,927,573"
Mendham township,2020,"38,530,281","44,173,845","3,742,723","3,742,723"
Merchantville borough,2015,"12,722,062","20,084,010","1,261,361","1,261,361"
Merchantville borough,2020,"12,723,007","18,510,461","1,079,292","1,079,292"
Metuchen borough,2020,"45,415,449","91,590,698","7,947,512","7,947,512"
Metuchen borough,2015,"43,808,471","92,717,739","4,470,549","4,470,549"
Middle township,2015,"90,657,630","90,657,630","4,292,161","4,292,161"
Middle township,2020,"82,574,551","82,574,551","4,095,636","4,095,636"
Middlesex borough,2015,"40,350,605","102,517,710","4,035,584","4,035,584"
Middlesex borough,2020,"39,431,986","89,649,733","3,545,463","3,545,463"
Middletown township,2015,"277,620,020","612,313,452","22,595,483","22,595,483"
Middletown township,2020,"266,446,080","560,493,867","710,947","710,947"
Midland Park borough,2015,"22,634,601","45,142,829","2,856,280","2,856,280"
Midland Park borough,2020,"22,314,782","40,405,661","2,601,586","2,601,586"
Milford borough,2020,"6,244,947","9,133,019","13,134","13,134"
Milford borough,2015,"6,167,844","9,239,394","5,119","5,119"
Millburn township,2015,"96,665,133","243,441,830","11,933,026","11,933,026"
Millburn township,2020,"98,083,755","212,701,774","10,572,403","10,572,403"
Millstone borough,2015,"1,634,765","1,972,758","163,527","163,527"
Millstone borough,2020,"1,690,936","2,049,140","152,212","152,212"
Millstone township,2015,"56,629,661","76,925,859","4,643,888","4,643,888"
Millstone township,2020,"54,929,010","71,612,654","4,602,936","4,602,936"
Milltown borough,2015,"94,856","94,856","2,561,573","2,561,573"
